272,7571,0
17,98,1
11,191,0
5342,357,0
26,59,0
1761,2897,1
85,7598,0
29,24,1
5,7531,0
351,759,1
7552,88,0
8,7382,0
272,7571,0
48,2677,1
3134,95,0
469,188,1
13,1813,1
26,2358,0
222,2336,0
1,2907,1
541,7519,0
687,7593,0
110,369,1
118,375,1
1,2305,1
7604,48,0
278,1638,0
498,7560,0
65,33,1
9,546,1
272,7534,0
593,7441,0
288,104,0
7604,143,0
249,185,1
7552,86,0
5342,1611,0
272,7566,0
7591,7422,0
269,86,1
18,1164,1
327,1240,1
44,1076,1
177,7,0
5,7585,0
73,7595,0
92,1053,1
529,1210,1
23,99,1
11,9,1
4,236,1
7,536,0
15,1249,0
7604,7334,1
395,8,0
111,120,1
107,83,1
61,505,1
124,332,0
30,119,0
5342,536,0
179,7602,0
95,2953,1
717,2478,1
226,7524,1
87,7473,0
1785,166,1
125,131,1
174,262,1
150,7604,0
5,384,0
11,63,0
1482,60,0
8,527,0
7589,508,0
137,844,1
5342,7581,0
148,119,1
24,94,1
249,656,0
11,174,0
54,2336,0
254,322,1
6,1865,1
175,293,1
177,1548,1
190,7562,0
222,2336,0
597,812,1
491,7598,0
243,872,1
498,7384,0
179,7599,0
95,1307,1
250,19,1
51,2887,1
8,492,0
263,167,1
177,1753,1
46,813,1
2,7552,0
442,7511,0
2139,1292,0
41,5415,1
7564,1112,1
8,7472,0
1,1724,1
2,9,1
353,5342,0
8,702,0
107,7565,1
90,883,1
196,122,1
249,7595,0
7603,7424,0
142,272,0
17,516,1
958,155,1
197,69,1
6014,1341,1
183,7570,1
53,417,1
26,816,0
435,46,1
185,88,0
1811,3079,0
1962,611,1
106,7582,0
95,7339,0
7,7602,0
135,2895,1
177,1765,1
544,926,0
8,7543,0
27,6290,1
4,270,1
633,410,1
40,1401,1
824,192,1
665,1474,1
115,81,1
326,342,1
890,243,0
5342,516,0
20,83,1
92,1833,1
798,33,0
8,7487,0
7603,148,0
10,1078,1
18,630,1
33,167,1
433,7595,0
7604,327,0
58,338,0
906,7325,0
1,396,1
83,487,0
11,42,1
68,7598,0
15,400,0
1,4,1
196,176,0
7487,708,0
8,2395,0
8,1068,0
376,7560,1
35,7384,0
177,53,0
9,2122,1
45,7395,0
1,29,1
934,792,1
7589,181,0
2244,7539,0
90,32,1
7603,796,1
7565,687,1
58,3,1
345,191,1
1,121,1
5,7406,0
56,227,1
7,809,1
98,1597,1
90,137,1
38,7454,0
23,437,1
5,3133,0
40,92,1
1522,53,1
8,7350,0
541,7519,0
1,2,1
11,183,0
720,343,1
61,1052,1
35,2336,1
138,477,1
85,7503,0
133,13,1
22,7579,0
6,1578,1
1691,7509,0
15,7379,0
7,7540,0
45,7520,0
117,1324,1
177,93,0
249,7604,0
24,7600,0
11,7573,0
145,65,1
11,36,1
1386,376,1
11,7445,0
11,125,0
798,197,1
29,8,1
289,1425,1
7557,272,0
7490,708,0
145,897,0
164,82,1
188,7602,0
7551,7594,1
7,7602,0
106,187,1
206,588,0
544,926,0
19,1882,1
126,155,1
125,7568,0
244,2318,0
594,1522,1
1811,3079,0
168,7601,0
5,2408,0
87,133,0
143,3094,1
164,376,1
188,7594,0
491,70,0
5,904,1
7597,8,0
155,7547,0
7400,1134,0
85,7334,0
45,1933,1
10,159,1
24,49,1
57,1742,1
176,1134,0
316,7592,0
244,7584,0
177,3003,1
4,1086,1
278,1638,0
7491,708,0
249,3420,1
95,7497,0
7604,198,0
87,7591,0
5,7485,0
5342,226,0
5,7477,0
38,346,1
146,2894,1
8,7328,0
119,384,1
93,7550,0
96,906,1
277,7564,0
8,382,0
1757,69,1
106,941,1
906,7325,0
1522,53,1
2391,7390,0
22,7513,0
12,280,1
7596,7564,0
125,7502,0
7401,1227,0
190,2424,1
1693,366,1
2,2488,1
272,7596,0
7597,49,0
8,457,0
67,1289,1
1336,248,0
73,883,1
36,2377,1
13,7565,0
11,174,0
7604,7602,1
7564,1697,1
15,5342,0
29,205,1
11,870,1
9,287,0
348,787,1
1117,620,1
26,632,1
1,3247,1
3271,1870,1
798,7573,1
100,7604,0
181,405,1
7595,288,1
7603,83,0
9,7518,0
43,7584,0
222,150,0
7603,517,0
270,7455,0
85,2336,0
42,840,1
7564,183,1
395,177,1
83,7604,0
597,1851,1
119,54,1
815,88,1
118,238,1
15,14,0
255,681,1
651,94,1
95,3179,1
7,2408,0
225,7413,0
278,7588,0
179,7599,0
244,7584,0
70,7388,0
8,7354,0
12,983,1
23,773,1
9,467,1
286,7556,0
116,708,0
8,7475,0
58,572,1
35,86,1
90,177,0
176,2634,0
5342,7392,0
60,7564,0
1402,2635,1
258,7398,0
5,7559,0
15,7330,0
7603,139,0
8,360,0
197,1068,1
15,31,0
7525,335,0
10,7399,0
249,389,1
436,138,1
798,7550,0
72,362,0
